f(a,b,c,d,e,f) a b c d e f
45582652602791 539 548 767 598 641 100
4887792900931 345 159 763 157 598 537
33532504424258 505 911 690 228 758 406
1704381265 72 62 626 618 549 506
101668014122696 633 446 914 238 183 770
20373375190765 459 71 359 137 326 601
524740244945044 879 67 281 130 559 876
3718224233 17 248 404 624 173 827
459772150997091 856 655 397 509 670 284
94383133682978 623 854 381 871 986 263
133011228772376 668 208 331 752 974 77
2211104713874 263 988 332 263 802 898
265445684654764 767 81 907 824 680 575
1647633588624 263 790 533 57 267 194
503401426426 117 833 171 610 357 992
1695908198722 279 273 553 704 961 194
317760670613106 795 664 973 485 232 15
454587464447326 854 766 993 790 626 7
9417777131714 391 727 632 139 469 282
20799620035732 459 808 195 800 364 648
68983751913321 585 828 650 54 868 718
726129679789185 938 50 229 173 526 307
624443796911634 910 801 32 6 673 522
165699851616422 698 362 121 99 995 985
970851249347 121 986 631 344 690 887
124144047189532 658 945 886 35 32 528
3367832420667 319 504 320 930 934 948
527762270210079 880 420 914 859 441 723
142214330928985 677 50 31 163 521 935
173665739870 58 645 407 437 842 341
7271777935 14 295 671 530 298 369
189506263574110 717 334 683 518 608 478
24693149590143 477 25 957 388 209 257
47473001873765 543 719 771 290 292 730
73950679011196 594 203 176 419 44 604
6437835840461 360 791 637 509 727 317
21624953904053 464 586 775 739 253 796
197694118408068 723 609 204 242 661 825
794373526571632 955 347 343 10 460 613
553441916744 166 809 984 342 123 246
581883386822 83 872 621 597 374 813
305763247042025 789 153 712 256 982 685
47289870286248 543 539 906 596 630 54
1573539552 4 200 298 859 371 890
9535505395657 393 634 958 530 995 915
3743836159901 327 266 298 194 565 791
37656064132867 519 137 801 848 85 375
673595515078860 924 498 797 420 494 879
981001639062342 996 958 235 277 637 631
37960395397375 519 743 838 241 76 530
716398056032 22 920 39 565 960 194
6654588127669 357 962 887 112 84 883
531039999634709 881 742 696 701 231 816
2571214302 79 130 925 22 926 80
733945382977482 940 451 225 17 327 962
360265474835732 815 912 502 193 316 320
162152681668929 695 85 217 860 610 772
3409054458679 321 188 734 572 109 965
183619685915992 712 895 746 128 826 517
10896337234644 405 109 173 123 374 578
12041584297354 413 401 175 834 377 624
995892755280 251 14 710 765 494 354
1000260889112587 1000 715 773 418 871 590
340153797791956 806 100 214 174 244 106
238908456898289 751 364 346 558 659 41
1372498235239 249 803 776 159 387 539
745748900940532 943 493 749 264 658 15
141518626064316 676 770 10 604 386 950
568586292566 220 481 673 201 851 410
620611022445818 909 136 625 656 21 201
732090202900 17 925 175 699 217 877
976016296353484 995 936 99 213 37 442
167166343848421 699 736 251 660 687 410
712772246259 35 919 826 421 853 365
597219338602018 902 611 634 725 190 134
155281484279526 689 303 156 16 569 427
52186395052659 554 182 429 499 380 969
41180891271 44 452 898 419 487 517
1491079170550 268 574 150 795 516 95
648213568880 229 370 663 621 141 216
1547066676849 256 818 556 311 221 781
148834088270176 683 673 352 359 826 515
185575156964973 714 333 9 694 564 299
2164281197712 262 982 568 877 880 579
18453419213651 450 191 898 315 474 293
37294010935393 518 96 972 583 41 593
198981878621789 724 485 339 481 226 52
234437843188095 748 728 791 814 708 20
5115435647034 338 916 371 510 301 730
79111404926070 602 465 258 449 292 184
1513749102481 235 945 765 873 948 285
1126651482727 202 943 758 604 949 653
6227328484500 356 845 834 986 320 497
185709290290710 714 619 726 796 854 491
688621624400107 928 786 123 518 137 335
207687954731292 730 786 957 966 102 101
468087201731 107 821 646 168 364 347
22234936520 66 385 996 537 296 422
413557912210775 838 741 771 713 115 229
19716358318994 456 154 766 598 239 821
11603680316035 406 870 846 775 592 628
540376878538737 884 858 746 352 975 26
277936168 16 129 33 282 343 23
1000867536616 65 1000 664 452 441 42
6657456710157 367 55 702 72 403 858
954085362102 237 674 182 896 122 519
107374726659191 640 153 155 492 998 295
86560796046587 613 248 280 936 946 396
7759477058064 373 857 378 754 35 733
