f(a,b,c,d,e,f) a b c d e f
806914529530624 958 56 304 640 724 460
4488084162075 328 912 448 450 743 370
357383661151586 814 321 577 826 612 676
438724831532786 848 681 9 9 66 351
634549024970423 913 635 30 758 145 102
292692019068548 782 710 414 1000 765 295
13153797520428 414 998 512 222 57 37
58097148660266 566 314 119 954 97 582
899513525941 10 974 779 894 250 960
396665384759469 831 787 979 780 380 736
448952881411163 852 232 238 463 244 720
210163810027157 732 189 375 202 584 473
95030938022375 624 807 489 368 818 733
240957592320713 752 829 723 454 661 552
128122620402258 663 362 233 472 988 656
150821196041286 685 240 220 110 224 827
3822012774237 327 537 49 371 463 484
741940130747943 942 665 620 601 707 778
430849956402738 845 454 680 408 277 472
70940785546080 589 478 316 22 22 327
3581709214558 323 507 415 463 546 680
88379104243314 615 796 874 264 297 546
783994921531 21 941 441 924 404 862
122438074303370 657 399 422 124 834 402
165569376600 9 638 487 545 173 200
119857513183 164 205 817 50 548 649
164499218154546 697 73 364 857 11 724
8530436215034 377 978 415 384 40 72
567932911399660 893 478 618 790 996 957
555282591857979 889 287 407 684 420 408
980334372230804 996 647 606 892 968 103
3348411415541 319 461 456 582 572 163
498811761359527 870 791 860 949 742 75
703201186511784 932 97 327 559 760 535
24097242158 22 394 183 164 556 597
2122972391628 291 438 822 641 175 273
58186772809646 565 884 29 363 477 134
33831365967518 508 129 586 872 637 416
614016214032541 907 671 127 554 919 63
449406349601022 852 822 582 992 565 945
620948056126554 909 762 251 332 538 650
685519358282762 927 995 814 644 507 723
15782352905240 434 788 872 912 510 106
1217862006151 258 524 874 487 87 657
10528211135650 402 415 285 993 885 240
260734432696223 764 814 565 18 709 581
330403919740333 801 905 205 16 568 248
118103146303 70 585 886 423 873 838
56139556134986 561 870 147 768 957 983
150178763644638 684 823 629 11 763 388
399392163045946 832 921 557 702 443 981
11216581711421 407 471 817 694 187 965
2808350529332 307 534 179 847 583 598
26015183952879 482 21 792 648 173 233
36943807585573 517 295 204 781 506 968
593874708610140 901 559 902 80 251 755
13069485533436 420 138 70 944 874 682
7990985290412 372 965 352 935 624 804
